Description	Accession
EST: aa68f12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826127 3', mRNA sequence. (from Genbank)	RC_AA521333_at
EST: aa68h12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826151 3', mRNA sequence. (from Genbank)	RC_AA521354_at
EST: aa77f12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826991 3', mRNA sequence. (from Genbank)	RC_AA521371_at
EST: aa68d12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826103 3', mRNA sequence. (from Genbank)	RC_AA521416_at
EST: aa69e04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826206 3', mRNA sequence. (from Genbank)	RC_AA521454_at
EST: aa69f08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826215 3', mRNA sequence. (from Genbank)	RC_AA521468_at
Zinc finger protein 262	RC_AA521508_at
EST: ae40d12.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898295 3', mRNA sequence. (from Genbank)	RC_AA598397_at
EST: ae48a12.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950110 3', mRNA sequence. (from Genbank)	RC_AA598407_at
EST: ae48b06.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950099 3', mRNA sequence. (from Genbank)	RC_AA598410_at
EST: ae48b08.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950103 3', mRNA sequence. (from Genbank)	RC_AA598412_at
EST: ae48c06.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950122 3', mRNA sequence. (from Genbank)	RC_AA598417_at
EST: ae48d08.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950127 3', mRNA sequence. (from Genbank)	RC_AA598429_at
EST: ae48e11.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950156 3' similar to WP:F13B12.1 CE05599 ;, mRNA sequence. (from Genbank)	RC_AA598439_at
EST: ae48f01.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950137 3', mRNA sequence. (from Genbank)	RC_AA598441_at
Homo sapiens clone 486790 diphosphoinositol polyphosphate phosphohydrolase mRNA, complete cds	RC_AA598444_at
EST: ae48g01.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950160 3', mRNA sequence. (from Genbank)	RC_AA598450_at
EST: ae48g03.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950164 3' similar to contains Alu repetitive element;contains element MER40 repetitive element ;, mRNA sequence. (from Genbank)	RC_AA598452_at
H.sapiens mRNA for retrotransposon	RC_AA598453_s_at
EST: ae48g12.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950182 3', mRNA sequence. (from Genbank)	RC_AA598460_s_at
EST: ae48h01.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950161 3', mRNA sequence. (from Genbank)	RC_AA598461_at
EST: ae38h10.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898147 3', mRNA sequence. (from Genbank)	RC_AA598505_at
EST: ae35e03.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897820 3' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	RC_AA598571_at
EST: ae35e11.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897836 3', mRNA sequence. (from Genbank)	RC_AA598575_at
EST: ae35g11.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897860 3', mRNA sequence. (from Genbank)	RC_AA598589_at
EST: ae39h03.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898229 3', mRNA sequence. (from Genbank)	RC_AA598626_at
EST: ae36a07.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897876 3', mRNA sequence. (from Genbank)	RC_AA598636_at
EST: ae36a11.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897884 3', mRNA sequence. (from Genbank)	RC_AA598639_at
EST: ae40b02.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898251 3', mRNA sequence. (from Genbank)	RC_AA598675_at
EST: ae40b06.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898259 3' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	RC_AA598679_at
KIAA0618 gene product	RC_AA598680_at
EST: ae48h10.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950179 3', mRNA sequence. (from Genbank)	RC_AA598681_at
EST: ae49a02.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950186 3', mRNA sequence. (from Genbank)	RC_AA598684_s_at
EST: ae49a08.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950198 3', mRNA sequence. (from Genbank)	RC_AA598689_at
EST: ae49b03.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950189 3', mRNA sequence. (from Genbank)	RC_AA598695_at
Bone morphogenetic protein 6	RC_AA598702_at
EST: ae49d04.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950215 3', mRNA sequence. (from Genbank)	RC_AA598710_at
EST: ae49d05.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950217 3', mRNA sequence. (from Genbank)	RC_AA598711_at
EST: ae49d06.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950219 3', mRNA sequence. (from Genbank)	RC_AA598712_at
EST: ae49e04.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950238 3', mRNA sequence. (from Genbank)	RC_AA598718_at
EST: ae49e10.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950250 3', mRNA sequence. (from Genbank)	RC_AA598723_at
EST: ae49f01.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950233 3', mRNA sequence. (from Genbank)	RC_AA598724_at
Endothelial differentiation-related factor 1	RC_AA598725_at
EST: ae49g02.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950258 3', mRNA sequence. (from Genbank)	RC_AA598732_at
EST: ae49h06.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950267 3', mRNA sequence. (from Genbank)	RC_AA598745_at
EST: ae49h07.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950269 3', mRNA sequence. (from Genbank)	RC_AA598746_at
EST: ae49h10.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950275 3', mRNA sequence. (from Genbank)	RC_AA598749_at
EST: ae38a11.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898076 3', mRNA sequence. (from Genbank)	RC_AA598781_at
EST: ae36e07.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897924 3', mRNA sequence. (from Genbank)	RC_AA598808_at
Homo sapiens TLS-associated protein TASR mRNA, complete cds	RC_AA598820_at
EST: ae40f06.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898307 3', mRNA sequence. (from Genbank)	RC_AA598831_f_at
EST: ae37b10.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897979 3', mRNA sequence. (from Genbank)	RC_AA598872_at
EST: ae41a12.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898366 3' similar to contains L1.t1 L1 repetitive element ;, mRNA sequence. (from Genbank)	RC_AA598902_at
EST: ae41d05.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898377 3', mRNA sequence. (from Genbank)	RC_AA598921_at
EST: ae37e06.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898018 3', mRNA sequence. (from Genbank)	RC_AA598930_at
EST: ae37h03.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898037 3', mRNA sequence. (from Genbank)	RC_AA598951_at
EST: ae40c09.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898288 3', mRNA sequence. (from Genbank)	RC_AA598975_at
EST: ae34e07.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897732 3', mRNA sequence. (from Genbank)	RC_AA598988_at
Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	RC_AA599016_at
EST: ae41h03.s1 Gessler Wilms tumor Homo sapiens cDNA clone 898421 3', mRNA sequence. (from Genbank)	RC_AA599032_at
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	RC_AA599037_s_at
Homo sapiens apoptosis-related protein TFAR15 (TFAR15) mRNA, complete cds	RC_AA599041_at
EST: ae51f09.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950441 3', mRNA sequence. (from Genbank)	RC_AA599090_at
EST: ae51h02.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950451 3', mRNA sequence. (from Genbank)	RC_AA599104_at
EST: ae51h07.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950461 3' similar to gb:M29540 CARCINOEMBRYONIC ANTIGEN PRECURSOR (HUMAN);, mRNA sequence. (from Genbank)	RC_AA599107_at
EST: ae52c11.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950516 3', mRNA sequence. (from Genbank)	RC_AA599138_at
Myosin phosphatase, target subunit 1	RC_AA599144_at
EST: ae52d08.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950511 3', mRNA sequence. (from Genbank)	RC_AA599147_at
Homo sapiens transcription factor SL1 mRNA, complete cds	RC_AA599182_s_at
Short-chain dehydrogenase/reductase 1	RC_AA599211_at
EST: ag34c05.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091432 3', mRNA sequence. (from Genbank)	RC_AA599214_at
EST: ag34c10.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091442 3', mRNA sequence. (from Genbank)	RC_AA599219_at
EST: ag23d09.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1071185 3', mRNA sequence. (from Genbank)	RC_AA599434_at
EST: ag26d02.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1090659 3', mRNA sequence. (from Genbank)	RC_AA599464_at
Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	RC_AA599472_at
Plakophilin 4	RC_AA599501_at
EST: ag08a06.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069714 3', mRNA sequence. (from Genbank)	RC_AA599552_s_at
Homo sapiens mRNA for HIS1 protein, complete cds	RC_AA599583_at
EST: ag10a01.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069896 3', mRNA sequence. (from Genbank)	RC_AA599629_at
EST: ag10b05.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069905 3', mRNA sequence. (from Genbank)	RC_AA599643_at
Homo sapiens TCFL5 mRNA for transcription factor-like 5, complete cds	RC_AA599653_s_at
EST: ag10e10.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069962 3' similar to contains MER11.b3 MER11 repetitive element ;, mRNA sequence. (from Genbank)	RC_AA599673_at
Homo sapiens mRNA for KIAA0549 protein, partial cds	RC_AA599677_at
Homo sapiens clone 23584 mRNA sequence	RC_AA599679_s_at
Homo sapiens antigen NY-CO-33 (NY-CO-33) mRNA, complete cds	RC_AA599680_at
EST: ag10f09.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069961 3', mRNA sequence. (from Genbank)	RC_AA599683_at
EST: ag10g07.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069980 3', mRNA sequence. (from Genbank)	RC_AA599690_at
EST: ag10h08.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069983 3', mRNA sequence. (from Genbank)	RC_AA599699_at
EST: ag11f08.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1070055 3', mRNA sequence. (from Genbank)	RC_AA599742_at
Homo sapiens candidate tumor suppressor gene 21 protein isoform I mRNA, complete cds	RC_AA599751_at
Human DNA sequence from clone 465N24 on chromosome 1p35.1-36.13. Contains two novel genes, ESTs, GSSs and CpG islands	RC_AA599759_at
EST: ag33a04.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091310 3', mRNA sequence. (from Genbank)	RC_AA599764_at
EST: ag32b01.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091209 3', mRNA sequence. (from Genbank)	RC_AA599808_at
EST: ag32b09.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091225 3', mRNA sequence. (from Genbank)	RC_AA599814_at
EST: ag33g02.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091378 3', mRNA sequence. (from Genbank)	RC_AA599859_at
EST: ag33g03.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091380 3', mRNA sequence. (from Genbank)	RC_AA599860_at
Homo sapiens Huntingtin interacting protein mRNA, partial cds	RC_AA599872_at
EST: ag32e02.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091258 3', mRNA sequence. (from Genbank)	RC_AA599876_s_at
Deleted in bladder cancer chromosome region candidate 1	RC_AA599898_at
EST: ag24h03.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1090517 3', mRNA sequence. (from Genbank)	RC_AA599945_at
EST: ag24h08.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1090527 3', mRNA sequence. (from Genbank)	RC_AA599950_at
Phosphatidylinositol glycan, class B	RC_AA599954_at
EST: ag28g07.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1090908 3', mRNA sequence. (from Genbank)	RC_AA599978_s_at
EST: ag28h05.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1090905 3', mRNA sequence. (from Genbank)	RC_AA599986_at
EST: ag28h10.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1090915 3', mRNA sequence. (from Genbank)	RC_AA599991_at
EST: ag29h10.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1091011 3', mRNA sequence. (from Genbank)	RC_AA600012_at
KIAA0455 gene product	RC_AA600114_at
EST: ae50b02.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950283 3', mRNA sequence. (from Genbank)	RC_AA600123_at
EST: ae50b04.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950287 3', mRNA sequence. (from Genbank)	RC_AA600125_at
Homo sapiens cDNA for dihydroxyacetone phosphate acyltransferase (DAP-AT)	RC_AA600134_at
Ribosomal protein S20	RC_AA600138_at
Deleted in oral cancer-1	RC_AA600140_at
EST: ae50d07.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950317 3', mRNA sequence. (from Genbank)	RC_AA600147_at
EST: ae50d12.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950327 3', mRNA sequence. (from Genbank)	RC_AA600150_at
EST: ae50e03.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950332 3', mRNA sequence. (from Genbank)	RC_AA600152_at
EST: ae50e09.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950344 3', mRNA sequence. (from Genbank)	RC_AA600158_at
Phosphatidylinositol-4-phosphate 5-kinase, type II, beta	RC_AA600246_at
EST: af01h05.s1 Jia bone marrow stroma Homo sapiens cDNA clone 1027353 3' similar to WP:F01F1.9 CE01235 VACUOLAR AMINOPEPTIDASE ;, mRNA sequence. (from Genbank)	RC_AA600292_at
EST: ag04a07.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069332 3', mRNA sequence. (from Genbank)	RC_AA600302_at
EST: ag04b04.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069327 3', mRNA sequence. (from Genbank)	RC_AA600310_at
EST: ag04c07.s1 Gessler Wilms tumor Homo sapiens cDNA clone 1069356 3', mRNA sequence. (from Genbank)	RC_AA600322_at
Homo sapiens Wolf-Hirschhorn syndrome candidate 2 protein (WHSC2) mRNA, complete cds	RC_AA600328_at
TIA1 cytotoxic granule-associated RNA-binding protein	RC_AA600357_at
Endocytic receptor (macrophage mannose receptor family)	RC_AA600363_at
EST: ae53c08.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950606 3', mRNA sequence. (from Genbank)	RC_AA608537_at
EST: ae53d05.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950601 3', mRNA sequence. (from Genbank)	RC_AA608545_at
EST: ae53d06.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950603 3', mRNA sequence. (from Genbank)	RC_AA608546_at
EST: ae54b09.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950681 3' similar to SW:SRPB_MOUSE P47758 SIGNAL RECOGNITION PARTICLE RECEPTOR BETA SUBUNIT ;, mRNA sequence. (from Genbank)	RC_AA608565_at
Paired-like homeodomain transcription factor 2	RC_AA608579_s_at
EST: ae54e10.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950730 3', mRNA sequence. (from Genbank)	RC_AA608592_at
Homo sapiens clone 23742 mRNA, partial cds	RC_AA608649_at
EST: ae56b03.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950861 3', mRNA sequence. (from Genbank)	RC_AA608699_at
EST: ae56d06.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950891 3', mRNA sequence. (from Genbank)	RC_AA608716_at
EST: ae56d09.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950897 3', mRNA sequence. (from Genbank)	RC_AA608718_at
EST: ae56e04.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950910 3', mRNA sequence. (from Genbank)	RC_AA608723_at
EST: ae56e12.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 950926 3', mRNA sequence. (from Genbank)	RC_AA608730_at
EST: af04b05.s1 Soares testis NHT Homo sapiens cDNA clone 1030641 3' similar to contains element TAR1 repetitive element ;, mRNA sequence. (from Genbank)	RC_AA608772_at
EST: af04e03.s1 Soares testis NHT Homo sapiens cDNA clone 1030684 3', mRNA sequence. (from Genbank)	RC_AA608802_at
EIF4E-like cap-binding protein	RC_AA608850_at
EST: af03a05.s1 Soares testis NHT Homo sapiens cDNA clone 1030544 3', mRNA sequence. (from Genbank)	RC_AA608912_at
H.sapiens gene from PAC 102G20	RC_AA608962_at
EST: af05f06.s1 Soares testis NHT Homo sapiens cDNA clone 1030787 3', mRNA sequence. (from Genbank)	RC_AA609008_at
EST: af05f10.s1 Soares testis NHT Homo sapiens cDNA clone 1030795 3', mRNA sequence. (from Genbank)	RC_AA609011_at
Forkhead (Drosophila) homolog 1 (rhabdomyosarcoma)	RC_AA609017_s_at
EST: af10b05.s1 Soares testis NHT Homo sapiens cDNA clone 1031217 3', mRNA sequence. (from Genbank)	RC_AA609023_at
Af10c02.s1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1031234 3', mRNA sequence	RC_AA609028_at
Eukaryotic translation initiation factor 4 gamma, 3	RC_AA609043_at
EST: af10e04.s1 Soares testis NHT Homo sapiens cDNA clone 1031262 3', mRNA sequence. (from Genbank)	RC_AA609045_at
EST: af10e05.s1 Soares testis NHT Homo sapiens cDNA clone 1031264 3', mRNA sequence. (from Genbank)	RC_AA609046_at
EST: af10f08.s1 Soares testis NHT Homo sapiens cDNA clone 1031271 3', mRNA sequence. (from Genbank)	RC_AA609053_at
EST: af10g04.s1 Soares testis NHT Homo sapiens cDNA clone 1031286 3', mRNA sequence. (from Genbank)	RC_AA609060_at
Homo sapiens mRNA, chromosome 1 specific transcript KIAA0503	RC_AA609113_at
Homo sapiens clone ET16 ET putative translation product (ET) mRNA, alternatively spliced complete cds	RC_AA609117_at
EST: af11e03.s1 Soares testis NHT Homo sapiens cDNA clone 1031356 3', mRNA sequence. (from Genbank)	RC_AA609119_at
Homo sapiens clone 23939 mRNA sequence	RC_AA609125_at
EST: af11f03.s1 Soares testis NHT Homo sapiens cDNA clone 1031357 3', mRNA sequence. (from Genbank)	RC_AA609131_at
EST: af11g09.s1 Soares testis NHT Homo sapiens cDNA clone 1031392 3', mRNA sequence. (from Genbank)	RC_AA609145_at
Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	RC_AA609151_at
Small inducible cytokine A5 (RANTES)	RC_AA609163_at
EST: af12a10.s1 Soares testis NHT Homo sapiens cDNA clone 1031418 3', mRNA sequence. (from Genbank)	RC_AA609168_at
EST: af12b02.s1 Soares testis NHT Homo sapiens cDNA clone 1031403 3', mRNA sequence. (from Genbank)	RC_AA609172_at
EST: af12c06.s1 Soares testis NHT Homo sapiens cDNA clone 1031434 3' similar to SW:INO1_SPIPO P42803 MYO-INOSITOL-1-PHOSPHATE SYNTHASE ;, mRNA sequence. (from Genbank)	RC_AA609185_at
EST: af12d09.s1 Soares testis NHT Homo sapiens cDNA clone 1031441 3' similar to TR:G988221 G988221 TBC1. ;, mRNA sequence. (from Genbank)	RC_AA609195_at
EST: af12f04.s1 Soares testis NHT Homo sapiens cDNA clone 1031455 3', mRNA sequence. (from Genbank)	RC_AA609210_at
EST: af12f09.s1 Soares testis NHT Homo sapiens cDNA clone 1031465 3', mRNA sequence. (from Genbank)	RC_AA609213_at
Homo sapiens chloride channel protein (ClC-2) mRNA, complete cds	RC_AA609253_at
EST: af13e06.s1 Soares testis NHT Homo sapiens cDNA clone 1031554 3' similar to TR:G285983 G285983 ORF, COMPLETE CDS. ;, mRNA sequence. (from Genbank)	RC_AA609285_at
EST: af13g03.s1 Soares testis NHT Homo sapiens cDNA clone 1031572 3' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	RC_AA609306_at
Acylphosphatase 1, erythrocyte (common) type	RC_AA609308_s_at
EGF-like-domain, multiple 5	RC_AA609316_at
EST: af13h02.s1 Soares testis NHT Homo sapiens cDNA clone 1031571 3', mRNA sequence. (from Genbank)	RC_AA609317_at
EST: zu71b11.s1 Soares testis NHT Homo sapiens cDNA clone 743421 3', mRNA sequence. (from Genbank)	RC_AA609346_at
EST: zu71c02.s1 Soares testis NHT Homo sapiens cDNA clone 743426 3', mRNA sequence. (from Genbank)	RC_AA609348_at
EST: zu72c03.s1 Soares testis NHT Homo sapiens cDNA clone 743524 3', mRNA sequence. (from Genbank)	RC_AA609417_at
EST: zu72d03.s1 Soares testis NHT Homo sapiens cDNA clone 743525 3', mRNA sequence. (from Genbank)	RC_AA609427_at
EST: zu72e05.s1 Soares testis NHT Homo sapiens cDNA clone 743552 3', mRNA sequence. (from Genbank)	RC_AA609436_at
EST: zu72g07.s1 Soares testis NHT Homo sapiens cDNA clone 743580 3', mRNA sequence. (from Genbank)	RC_AA609459_at
Dynamin-like protein	RC_AA609461_at
EST: zu72g10.s1 Soares testis NHT Homo sapiens cDNA clone 743586 3' similar to SW:JANA_DROME P20348 SEX-REGULATED PROTEIN JANUS-A PRECURSOR. ;, mRNA sequence. (from Genbank)	RC_AA609462_at
EST: af14e11.s1 Soares testis NHT Homo sapiens cDNA clone 1031660 3', mRNA sequence. (from Genbank)	RC_AA609519_at
EST: af14g11.s1 Soares testis NHT Homo sapiens cDNA clone 1031684 3', mRNA sequence. (from Genbank)	RC_AA609539_at
EST: af14h01.s1 Soares testis NHT Homo sapiens cDNA clone 1031665 3', mRNA sequence. (from Genbank)	RC_AA609540_at
EST: af14h04.s1 Soares testis NHT Homo sapiens cDNA clone 1031671 3', mRNA sequence. (from Genbank)	RC_AA609542_at
Homo sapiens mRNA for KIAA0625 protein, partial cds	RC_AA609547_at
EST: af15b11.s1 Soares testis NHT Homo sapiens cDNA clone 1031709 3', mRNA sequence. (from Genbank)	RC_AA609570_at
KIAA0331 gene product	RC_AA609576_at
EST: af15d11.s1 Soares testis NHT Homo sapiens cDNA clone 1031733 3', mRNA sequence. (from Genbank)	RC_AA609592_at
H.sapiens mRNA for galectin-8	RC_AA609597_s_at
EST: af15e08.s1 Soares testis NHT Homo sapiens cDNA clone 1031750 3', mRNA sequence. (from Genbank)	RC_AA609600_at
EST: af15f12.s1 Soares testis NHT Homo sapiens cDNA clone 1031759 3', mRNA sequence. (from Genbank)	RC_AA609614_at
EST: af15g02.s1 Soares testis NHT Homo sapiens cDNA clone 1031762 3', mRNA sequence. (from Genbank)	RC_AA609616_at
EST: af15h05.s1 Soares testis NHT Homo sapiens cDNA clone 1031769 3', mRNA sequence. (from Genbank)	RC_AA609629_at
EST: af15h11.s1 Soares testis NHT Homo sapiens cDNA clone 1031781 3', mRNA sequence. (from Genbank)	RC_AA609635_at
EST: af16a06.s1 Soares testis NHT Homo sapiens cDNA clone 1031794 3', mRNA sequence. (from Genbank)	RC_AA609642_at
EST: af16a09.s1 Soares testis NHT Homo sapiens cDNA clone 1031800 3', mRNA sequence. (from Genbank)	RC_AA609645_at
EST: af16b03.s1 Soares testis NHT Homo sapiens cDNA clone 1031789 3', mRNA sequence. (from Genbank)	RC_AA609650_s_at
Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	RC_AA609672_at
Homo sapiens clone 23954 mRNA sequence	RC_AA609674_at
EST: af17b03.s1 Soares testis NHT Homo sapiens cDNA clone 1031885 3', mRNA sequence. (from Genbank)	RC_AA609723_at
EST: af17h08.s1 Soares testis NHT Homo sapiens cDNA clone 1031967 3', mRNA sequence. (from Genbank)	RC_AA609785_at
PROLIFERATING-CELL NUCLEOLAR ANTIGEN P120	RC_AA609786_s_at
EST: ae62a09.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 951448 3', mRNA sequence. (from Genbank)	RC_AA609795_at
EST: ae62a11.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 951452 3', mRNA sequence. (from Genbank)	RC_AA609797_at
EST: ae62e05.s1 Stratagene lung carcinoma 937218 Homo sapiens cDNA clone 951488 3', mRNA sequence. (from Genbank)	RC_AA609831_at
EST: af08c02.s1 Soares testis NHT Homo sapiens cDNA clone 1031042 3', mRNA sequence. (from Genbank)	RC_AA609869_at
